,Assembly Accession,Assembly BioProject Lineage Title,Assembly BioSample BioProject Title,Assembly BioSample Project name,Assembly BioSample Description Title,Assembly BioSample Breed,Assembly BioSample Host,Assembly BioSample Ecotype,Assembly BioSample Cultivar,Assembly BioSample Host disease,Assembly BioSample Isolation source,Assembly BioSample Source type,Assembly BioSample Tissue,Assembly BioSample Models,is_human,human_subcategory
155128,GCF_005937805.1,Cutibacterium acnes Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes,,homo sapiens,,,,wound left skin non operative,,,"Microbe, viral or environmental",True,
155129,GCF_006240615.1,Cutibacterium acnes Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes,,homo sapiens,,,,wound shoulder right operative,,,"Microbe, viral or environmental",True,
155130,GCF_006240625.1,Cutibacterium acnes Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes,,homo sapiens,,,,wound right skin operative,,,"Microbe, viral or environmental",True,
155131,GCF_006240655.1,Cutibacterium acnes Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes,,homo sapiens,,,,tissue superficial humeral membrane no. 2,,,"Microbe, viral or environmental",True,
155132,GCF_006240665.1,Cutibacterium acnes Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes,,homo sapiens,,,,wound shoulder right explant stem,,,"Microbe, viral or environmental",True,
155133,GCF_006240685.1,Cutibacterium acnes Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes,,homo sapiens,,,,tissue shoulder right suture,,,"Microbe, viral or environmental",True,
155134,GCF_006240705.1,Cutibacterium acnes Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes,,homo sapiens,,,,tissue no 1 shoulder right collar membrane,,,"Microbe, viral or environmental",True,
155135,GCF_006240735.1,Cutibacterium acnes Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes,,homo sapiens,,,,wound right shoulder non operative eswab,,,"Microbe, viral or environmental",True,
155147,GCF_011399455.1,Cutibacterium acnes SZ2 genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes strain SZ2,,homo sapiens,,,,non-surgical site of the back of an orthopedic surgery patient,,,"Microbe, viral or environmental",True,
155156,GCA_011525575.1,Microfluidic droplet co-cultivation of human gut microbes,,,Bacterial MAG recovered from co-growth in microfluidic droplet,,homo sapiens,,,,feces from healthy female,,,MIMAG.human-gut,True,
155157,GCF_000213155.1,Propionibacterium acnes 266 genome sequencing,,,Sample from Cutibacterium acnes 266,,homo sapiens,,,,pleuropulmonary infection,,,Generic,True,
155420,GCA_000735065.1,Reference Genome for Human Skin Microbiome Project,,,Sample from Cutibacterium acnes HL201PA1,,homo sapiens,,,,refractory endodontic lesions,,,Generic,True,
155421,GCF_000735055.1,Reference Genome for Human Skin Microbiome Project,,,Sample from Cutibacterium acnes HL202PA1,,homo sapiens,,,,refractory endodontic lesions,,,Generic,True,
155438,GCF_000496915.1,Cutibacterium acnes P6 strain:P6 Genome sequencing and assembly,,,Sample from Cutibacterium acnes P6,,homo sapiens,,,,prostate,,,Generic,True,
155439,GCF_000496895.1,Cutibacterium acnes PA2 Genome sequencing and assembly,,,Sample from Cutibacterium acnes PA2,,homo sapiens,,,,prostate,,,Generic,True,
155440,GCF_000252385.1,Cutibacterium acnes PRP-38 strain:TypeIA1 Genome sequencing and assembly,,,Sample from Cutibacterium acnes PRP-38,,homo sapiens,,,,acne isolate from patient,,,Generic,True,
155451,GCF_002572575.1,Cutibacterium acnes subsp. acnes strain:12-89 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. acnes,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155452,GCF_002572625.1,Cutibacterium acnes subsp. acnes strain:11-88 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. acnes,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155453,GCF_002572655.1,Cutibacterium acnes subsp. acnes strain:11-90 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. acnes,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155454,GCF_002572735.1,Cutibacterium acnes subsp. acnes strain:10-113 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. acnes,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155455,GCF_002572745.1,Cutibacterium acnes subsp. acnes strain:10-118 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. acnes,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155456,GCF_002572555.1,Cutibacterium acnes subsp. defendens strain:09-323 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. defendens,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155457,GCF_002572585.1,Cutibacterium acnes subsp. defendens strain:10-482 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. defendens,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155458,GCF_002572665.1,Cutibacterium acnes subsp. defendens strain:10-43 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. defendens,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155459,GCF_002572705.1,Cutibacterium acnes subsp. defendens strain:09-109 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. defendens,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155460,GCF_002572785.1,Cutibacterium acnes subsp. defendens strain:11-49 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. defendens,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155461,GCF_002572815.1,Cutibacterium acnes subsp. defendens strain:11-79 Genome sequencing,,,Microbe sample from Cutibacterium acnes subsp. defendens,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155462,GCF_002572835.1,Cutibacterium acnes subsp. defendens strain:11-356 Genome sequencing and assembly,,,Microbe sample from Cutibacterium acnes subsp. defendens,,homo sapiens,,,,prostatic tissue,,,"Microbe, viral or environmental",True,
155464,GCA_003131265.1,Cutibacterium acnes typing of various human diseases,,Cutibacterium acnes typing of various human diseases,Cutibacterium acnes JCM18919,,homo sapiens,,,atopic dermatitis,"normal-looking skin of atopic dermatitis patient, face",,,MIGS.ba.human-skin,True,
155482,GCA_001814915.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC062D02,,homo sapiens,,,,wound orbital apex,,,Generic,True,
155483,GCA_001814915.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC062D02,,homo sapiens,,,,wound orbital apex,,,Generic,True,
155484,GCA_001814915.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC062D02,,homo sapiens,,,,wound orbital apex,,,Generic,True,
155485,GCA_001815225.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC062D05,,homo sapiens,,,,tissue humerus,,,Generic,True,
155486,GCA_001815225.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC062D05,,homo sapiens,,,,tissue humerus,,,Generic,True,
155487,GCA_001815225.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC062D05,,homo sapiens,,,,tissue humerus,,,Generic,True,
155488,GCA_001812235.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC065F07,,homo sapiens,,,,abscess l neck,,,Generic,True,
155489,GCA_001812235.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC065F07,,homo sapiens,,,,abscess l neck,,,Generic,True,
155490,GCA_001812235.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC065F07,,homo sapiens,,,,abscess l neck,,,Generic,True,
155491,GCA_001814725.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC067A01,,homo sapiens,,,,abscess facial,,,Generic,True,
155492,GCA_001814725.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC067A01,,homo sapiens,,,,abscess facial,,,Generic,True,
155493,GCA_001814725.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC067A01,,homo sapiens,,,,abscess facial,,,Generic,True,
155494,GCA_001813165.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC067A02,,homo sapiens,,,,abscess facial,,,Generic,True,
155495,GCA_001813165.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC067A02,,homo sapiens,,,,abscess facial,,,Generic,True,
155496,GCA_001813165.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC067A02,,homo sapiens,,,,abscess facial,,,Generic,True,
155497,GCA_001810845.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC068C01,,homo sapiens,,,,wound head,,,Generic,True,
155498,GCA_001810845.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC068C01,,homo sapiens,,,,wound head,,,Generic,True,
155499,GCA_001810845.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC068C01,,homo sapiens,,,,wound head,,,Generic,True,
155500,GCA_001811645.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC069G10,,homo sapiens,,,,ocular l eye,,,Generic,True,
155501,GCA_001811645.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC069G10,,homo sapiens,,,,ocular l eye,,,Generic,True,
155502,GCA_001811645.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC069G10,,homo sapiens,,,,ocular l eye,,,Generic,True,
155503,GCA_001813655.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC075A12,,homo sapiens,,,,joint fluid r hip,,,Generic,True,
155504,GCA_001813655.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC075A12,,homo sapiens,,,,joint fluid r hip,,,Generic,True,
155505,GCA_001813655.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC075A12,,homo sapiens,,,,joint fluid r hip,,,Generic,True,
155509,GCA_001812935.1,HMP reference genome,,,Sample from Propionibacterium sp. HMSC078F10,,homo sapiens,,,,abscess r leg,,,Generic,True,
155510,GCA_001812935.1,"Genomes of microorganisms that have been isolated in and on the human body, to be used as Reference Genomes for the Human Microbiome Project (HMP)",,,Sample from Propionibacterium sp. HMSC078F10,,homo sapiens,,,,abscess r leg,,,Generic,True,
155511,GCA_001812935.1,NIH Human Microbiome Project (HMP) Roadmap Project,,,Sample from Propionibacterium sp. HMSC078F10,,homo sapiens,,,,abscess r leg,,,Generic,True,
155816,GCF_000787015.1,Acinetobacter baumannii strain:269 Genome sequencing and assembly,,,Microbe sample from Acinetobacter baumannii,,homo sapiens,,,,mucoid sputum,,,"Microbe, viral or environmental",True,
155820,GCF_000341835.1,Acinetobacter pittii strain:XM1570 Genome sequencing and assembly,,,Sample from Acinetobacter pittii,,homo sapiens,,,,expectorate sputum culture,,,Generic,True,
155826,GCF_000817365.1,Acinetobacter pittii strain:TE2 Genome sequencing and assembly,,,Acinetobacter pittii strain TE2,,homo sapiens,,,,surface of healthy skin,,,"MIGS.ba,MIGS/MIMS/MIMARKS.human-skin",True,
155911,GCF_002012285.1,Novel β-lactamase OXA-499 in Acinetobacter pittii,,,Beta-lactamase sample from Acinetobacter pittii,,homo sapiens,,,,peritoneal catheter tip,,,Beta-lactamase,True,
155912,GCF_002014165.1,Epidemiology of MDR Acinetobacter in Ohio,,,Sample of Acinetobacter baumannii: ABUH411,,homo sapiens,,,unknown,misc,,,Pathogen.cl,True,
155960,GCF_002927865.1,Analysis of the genomic diversity of Acinetobacter isolates,,,Pathogen: clinical or host-associated sample from Acinetobacter pittii,,homo sapiens,,,Acinetobacter infection,endobronchial tube,,,Pathogen.cl,True,
155962,GCF_002927955.1,Analysis of the genomic diversity of Acinetobacter isolates,,,Pathogen: clinical or host-associated sample from Acinetobacter pittii,,homo sapiens,,,Acinetobacter infection,endobronchial tube,,,Pathogen.cl,True,
156038,GCA_002006845.1,Acinetobacter Genome sequencing and assembly,,,Beta-lactamase sample from Acinetobacter pittii,,homo sapiens,,,,peritoneal catheter tip,,,Beta-lactamase,True,
156125,GCF_900205605.1,Genomic study of Corynebacterium diphtheriae and related species,,,Corynebacterium diphtheriae strain,,homo sapiens,,,,pseudomembrane,,,Generic,True,
156130,GCF_003003405.1,Corynebacterium diphtheriae Genome sequencing and assembly,,,nontoxigenic Corynebacterium diphtheriae biotype gravis,,homo sapiens,,,wound infection,wound of lower leg,,,Pathogen.cl,True,
156131,GCF_003003435.1,Corynebacterium diphtheriae Genome sequencing and assembly,,,nontoxigenic Corynebacterium diphtheriae biotype gravis,,homo sapiens,,,wound infection,wound of lower leg,,,Pathogen.cl,True,
156136,GCF_003194045.1,Fatal respiratory diphtheria caused by Beta-lactam-resistant toxigenic Corynebacterium diphtheriae,,,Raw PacBio sequencing data for Corynebacterium BQ11,,homo sapiens,,,Diphtheria,pharyngeal swab,,,"Pathogen.cl,Pathogen.cl",True,
156267,GCF_002843135.1,Corynebacterium diphtheriae bv. mitis str. ISS 3319 Genome sequencing,,,Pathogen: clinical or host-associated sample from Corynebacterium diphtheriae bv. mitis str. ISS 3319,,homo sapiens,,,Pharyngitis/tonsilitis,swab from patient with pharyngitis/tonsilitis,,,Pathogen.cl,True,
156406,GCF_001525265.1,KPC Enterobacter sp.,,,Sample of Enterobacter aerogenes SMART_1249,,homo sapiens,,,clinical or host-associated bacteria,abdomen,,,Pathogen.cl,True,
156407,GCF_001525265.1,KPC Enterobacteriacae,,,Sample of Enterobacter aerogenes SMART_1249,,homo sapiens,,,clinical or host-associated bacteria,abdomen,,,Pathogen.cl,True,
156446,GCF_001662695.1,Klebsiella aerogenes strain:D3 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,not collected,bronchoalveolar lavage fluid,,,Pathogen.cl,True,
156447,GCF_001662705.1,Klebsiella aerogenes strain:D2 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,not collected,catheter from patient in intensive care unit,,,Pathogen.cl,True,
156475,GCF_002891215.1,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,Urinary tract infection,urine clean catch,,,Pathogen.cl,True,
156476,GCF_002891215.1,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,Urinary tract infection,urine clean catch,,,Pathogen.cl,True,
156522,GCF_003951185.1,Carbapenem resistant Klebsiella aerogenes at a tertiary care medical center Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,respiratory infection,broncholaveolar lavage,,,Pathogen.cl,True,
156524,GCF_003951235.1,Carbapenem resistant Klebsiella aerogenes at a tertiary care medical center Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,urinary tract infection,catheter urine,,,Pathogen.cl,True,
156525,GCF_003951245.1,Carbapenem resistant Klebsiella aerogenes at a tertiary care medical center Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,urinary tract infection,catheter urine,,,Pathogen.cl,True,
156528,GCF_003951605.1,Carbapenem resistant Klebsiella aerogenes at a tertiary care medical center Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,gastrointestinal infection,biliary drain fluid,,,Pathogen.cl,True,
156532,GCF_003952045.1,Carbapenem resistant Klebsiella aerogenes at a tertiary care medical center Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,gastrointestinal infection,abdominal ascites fluid,,,Pathogen.cl,True,
156538,GCF_003952915.1,Carbapenem resistant Klebsiella aerogenes at a tertiary care medical center Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,urinary tract infection,"urine, cytoscopy",,,Pathogen.cl,True,
156541,GCF_006517605.1,Klebsiella aerogenes strain:LIM107 Genome sequencing and assembly,,,Enterobacter aerogenes Genome sequencing and assembly,,homo sapiens,,,infection,swab,,,Pathogen.cl,True,
156595,GCF_014235505.1,Northern Maine pathogenic clinical isolate genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,Urinary tract infection,hospital patient,,,Pathogen.cl,True,
156596,GCF_014235545.1,Northern Maine pathogenic clinical isolate genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Klebsiella aerogenes,,homo sapiens,,,Urinary tract infection,hospital patient,,,Pathogen.cl,True,
156638,GCF_000692195.1,Carbapenem,,,Sample from Klebsiella aerogenes MGH 77,,homo sapiens,,,,wound - abdominal,,,Generic,True,
156639,GCF_000692195.1,Carbapenem Resistance,,,Sample from Klebsiella aerogenes MGH 77,,homo sapiens,,,,wound - abdominal,,,Generic,True,
156648,GCF_000534235.1,Carbapenem Resistance,,,Generic sample from Enterobacter aerogenes UCI 28,,homo sapiens,,,,drainage,,,Generic,True,
156660,GCF_000783465.2,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,Colonization,urine cath,,,Pathogen.cl,True,
156661,GCF_000783465.2,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,Colonization,urine cath,,,Pathogen.cl,True,
156662,GCF_000783575.2,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,Urinary tract infection,urine clean catch,,,Pathogen.cl,True,
156663,GCF_000783575.2,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,Urinary tract infection,urine clean catch,,,Pathogen.cl,True,
156664,GCF_000783595.2,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,Abscess,abscess swab,,,Pathogen.cl,True,
156665,GCF_000783595.2,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,Abscess,abscess swab,,,Pathogen.cl,True,
156719,GCF_001448445.1,Proteus mirabilis IT NO-051/03 genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,Skin infection,cutaneous ulcer,,,Pathogen.cl,True,
156720,GCF_001462385.1,Proteus mirabilis strain:PM593 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,"Infection, Abdominal Wound",abdominal wound swab,,,Pathogen.cl,True,
156721,GCF_001462475.1,Proteus mirabilis strain:PM655 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,"Infection, Urinary Tract",midstream specimen of urine,,,Pathogen.cl,True,
156726,GCF_001604705.1,Proteus mirabilis C02011 Genome sequencing and assembly,,,Microbe sample from Proteus mirabilis,,homo sapiens,,,,vomit of a patient,,,"Microbe, viral or environmental",True,
156735,GCF_001858185.1,Proteus mirabilis strain:T1C Genome sequencing and assembly,,,Microbe sample from Proteus mirabilis,,homo sapiens,,,,dentine caries,,,"Microbe, viral or environmental",True,
156756,GCF_002936215.2,Klebsiella pneumoniae Genome sequencing and assembly,,,"Sample of  CRK0329, ARLG_3105",,homo sapiens,,,Unknown,miscellaneous body fluid,,,Pathogen.cl,True,
156788,GCF_003583505.1,Proteus mirabilis strain:PMWJ Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,intracranial infection,cerebrospinal fluid sample,,,Pathogen.cl,True,
156800,GCF_004347585.1,Proteus mirabilis OXA-23,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,Not collected,sperm,,,Pathogen.cl,True,
156808,GCF_004570105.1,A single Proteus mirabilis clone from human and animal sources over a twenty-year period,,,Microbe sample from Proteus mirabilis,,homo sapiens,,,,rectal screening,,,"Microbe, viral or environmental",True,
156811,GCF_004570175.1,A single Proteus mirabilis clone from human and animal sources over a twenty-year period,,,Microbe sample from Proteus mirabilis,,homo sapiens,,,,respiratory sample,,,"Microbe, viral or environmental",True,
156826,GCF_006508085.1,Proteus mirabilis strain:BOC1 Genome sequencing and assembly,,,Imipenem-resistant CMY-2-producing Proteus mirabilis,,homo sapiens,,,pneumonia,bronchial exudate,,,Pathogen.cl,True,
156828,GCF_006517685.1,Proteus mirabilis strain:4748 Genome sequencing and assembly,,,Proteus mirabilis Genome sequencing and assembly,,homo sapiens,,,infection,swab,,,Pathogen.cl,True,
156842,GCF_009429045.2,Proteus mirabilis strain:CRE14IB Genome sequencing,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,UTI,urine catheter,,,Pathogen.cl,True,
156883,GCF_011383025.1,Proteus mirabilis strain:XH1568 | isolate:XH1568 Genome sequencing,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,gallbladder cancer,body fluid,,,Pathogen.cl,True,
156931,GCF_012360255.1,Proteus mirabilis strain:PmirR Genome sequencing and assembly,,,Structural alteration of CpxA as a source of imipenem resistance in a P. mirabilis clinical isolate,,homo sapiens,,,pneumonia,bronchial aspirate,,,Pathogen.cl,True,
156933,GCF_013184265.1,Structural alteration of CpxA as a source of imipenem resistance in a P. mirabilis clinical isolate,,,Structural alteration of CpxA as a source of imipenem resistance in a P. mirabilis clinical isolate,,homo sapiens,,,Pneumonia,bronchial exudate,,,Pathogen.cl,True,
156934,GCF_013184655.1,Proteus mirabilis Genome sequencing and assembly,,,Microbe sample from Proteus mirabilis,,homo sapiens,,,,sputum sample from hospital patient,,,"Microbe, viral or environmental",True,
156935,GCF_013184675.1,Proteus mirabilis Genome sequencing and assembly,,,Microbe sample from Proteus mirabilis,,homo sapiens,,,,sputum sample from hospital patient,,,"Microbe, viral or environmental",True,
156936,GCF_013184695.1,Proteus mirabilis Genome sequencing and assembly,,,Microbe sample from Proteus mirabilis,,homo sapiens,,,,sputum sample from hospital patient,,,"Microbe, viral or environmental",True,
156937,GCF_013184715.1,Proteus mirabilis Genome sequencing and assembly,,,Microbe sample from Proteus mirabilis,,homo sapiens,,,,sputum sample from hospital patient,,,"Microbe, viral or environmental",True,
156954,GCF_014212545.1,Proteus mirabilis,,,41bian,,homo sapiens,,,,purulent wounds,,,"Microbe, viral or environmental",True,
156956,GCF_014212565.1,Proteus mirabilis,,,37pro,,homo sapiens,,,,purulent wounds,,,"Microbe, viral or environmental",True,
156959,GCF_014212655.1,Proteus mirabilis,,,16pro,,homo sapiens,,,,purulent wounds,,,"Microbe, viral or environmental",True,
156970,GCA_001647515.1,Proteus mirabilis strain:Pr2921 Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Proteus mirabilis,,homo sapiens,,,urinary tract infection,urinary tracts,,,Pathogen.cl,True,
156976,GCA_900455055.1,NCTC_3000,,,NCTC12441,,homo sapiens,,,,cerebral abscess,,,Generic,True,
156984,GCF_000313255.1,Proteus mirabilis C05028 Genome sequencing and assembly,,,Sample from Proteus mirabilis C05028,,homo sapiens,,,,stool from a patient with diarrhea due to a foodborne disease outbreak,,,Generic,True,
156986,GCF_000372565.1,Proteus mirabilis PR03 Genome sequencing and assembly,,,Sample from Proteus mirabilis PR03,,homo sapiens,,,,blood sample from patient with septicemia,,,Generic,True,
157100,GCF_002109455.1,Bacillus toyonensis strain:BacAer Genome sequencing and assembly,,,Pathogen: clinical or host-associated sample from Bacillus toyonensis,,homo sapiens,,,opportunistic bacterial infectious disease,biopsy of an epithelial lesion,,,Pathogen.cl,True,
157312,GCF_000981305.1,Burkholderia cenocepacia K56-2 Genome sequencing and assembly,,,General Sample for Burkholderia cenocepacia,,homo sapiens,,,,sputum from cystic fibrosis patient,,,Generic,True,
157332,GCA_000877315.1,Burkholderia cepacia strain:LMG 16656 Genome sequencing and assembly,,,Microbe sample Burkholderia cepacia LMG 16656,,homo sapiens,,,,sputum from cystic fibrosis patient,,,"Microbe, viral or environmental",True,
157335,GCF_000783755.2,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Citrobacter freundii,,homo sapiens,,,Respiratory distress,lung tissue grind,,,Pathogen.cl,True,
157336,GCF_000783755.2,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Citrobacter freundii,,homo sapiens,,,Respiratory distress,lung tissue grind,,,Pathogen.cl,True,
157337,GCF_000937455.2,Citrobacter freundii Genome sequencing and assembly,,,Citrobacter freundii MRSN11938: clinical isolate carrying the blaVIM-4 gene,,homo sapiens,,,missing,surveillance swab,,,Pathogen.cl,True,
157340,GCF_001022155.1,Genome sequencing of KPC-producing Gammaproteobacteria,,,Pathogen: clinical or host-associated sample from Citrobacter freundii,,homo sapiens,,,missing,urine/genitourinary,,,Pathogen.cl,True,
157412,GCF_001702455.1,Citrobacter freundii strain:B38 Genome sequencing and assembly,,,Citrobacter freundii clinical isolate B38,,homo sapiens,,,leg ulcer,sun yat-sen memorial hospital,,,Pathogen.cl,True,
157447,GCF_003195445.1,"Population structure, antibiotic resistance, and uropathogenecity of Klebsiella variicola",,,Pathogen: clinical or host-associated sample from Citrobacter freundii,,homo sapiens,,,Infection,urine cath,,,Pathogen.cl,True,
157515,GCF_012955545.1,Clinical isolates sequencing,,,Pathogen: clinical or host-associated sample from Citrobacter freundii,,homo sapiens,,,Tonsilitis,oropharyngeal swab of pharynx,,,Pathogen.cl,True,
157534,GCF_013425705.1,Organ Donor 1,,,Microbe sample from Citrobacter freundii,,homo sapiens,,,,lumen ascending colon,,,"Microbe, viral or environmental",True,
157565,GCF_014105665.1,The environmental REsistome: confluence of Human and Animal Biota in antibiotic resistance spread (REHAB),,,Citrobacter isolate RHB14-C01 cultured from Pig faeces sample,,,,,,pooled pig fecal samples collected from floor of farm,,,"Microbe, viral or environmental",True,
157650,GCF_001510775.1,Pasteurella multocida strain:SMC1 Genome sequencing and assembly,,,Microbe sample from Pasteurella multocida SMC1,,homo sapiens,,,,finger bone biopsy,,,"Microbe, viral or environmental",True,
157695,GCF_002393385.1,FDA-ARGOS is a database with public quality-controlled reference genomes for diagnostic use and regulatory science,,,Pathogen: clinical or host-associated sample from Pasteurella multocida,,homo sapiens,,,Cellullitis,abscess,,,Pathogen.cl,True,
157696,GCF_002393385.1,"The Lactobacillus genus, a use case for Bactopia.",,,Pathogen: clinical or host-associated sample from Pasteurella multocida,,homo sapiens,,,Cellullitis,abscess,,,Pathogen.cl,True,
